term,definition
AERAS,S'assurer et emprunter avec un risque aggravé de santé
AES,Administration Economique et Sociale
AES,Allocation d'éducation spéciale
AESF,Accompagnement En Economie Sociale Et Familiale
AESH,Accompagnant des élèves en situation de handicap
AF,Amende Forfaitaire
AFA,Action de formation alternée
AFA,Agence Française Anticorruption
AFA,Agence française de l'adoption
AFA,Association foncière agricole
AFA,Association foncière agricole.
AFAA,Association française d'action artistique
AFAF,Aménagement foncier agricole et forestier.
AFAFAF,Associations Foncières d’Aménagement Foncier Agricole et Forestier
AFAN,Association pour les fouilles archéologiques nationales.
AFAQ,Association Française d'Assurance Qualité
AFASE,Aide Financière D’aide Sociale à L’enfance
AFASSA,Agence française de sécurité sanitaire des aliments.
AFAT,Association française d'action touristique
AFB,Atelier de Formation de Base
AFCC,Association française des centres de consultation conjugale
AFD,Agence française de développement
AFD,Allocation de fin de droits
AFDPHE,Association française pour le dépistage et la prévention des handicaps de l’enfant
AFDU,Association française du développement urbain.
AFE,Agence ferroviaire européenne.
AFE,Assemblée des Français de l'étranger
AFEAMA,Aide à la Famille pour l’Emploi d’une Assistante Maternelle (l’AFEAMA n’existe plus depuis janvier 2010 ses bénéficiaire sont sous le régime de la PAJE)
AFEI,Association française pour l'étiquetage d'information
AFERNOD,Association française pour l'étude et la recherche des nodules polymétalliques
AFF,Allocation de fin de formation
AFFS,Allocation de formation de fin de stage
AFGSU,Attestation de Formation aux Gestes et Soins d’Urgence
AFICAR,Agence française d'information et de communication agricole et rurale
AFID,Aide Financière Individuelle Déconcentrée (pour Personne Ayant Le Rsa)
AFII,Agence française pour les investissements internationaux
AFIREM,Association française d’information et de recherche sur l’enfance maltraitée
AFIT,Agence française d'ingénierie touristique
AFITF,Agence de financement des infrastructures de transport de France
AFL,Association Frédéric Levavasseur
AFLD,Agence française de lutte contre le dopage
AFM,Association française contre les myopathies
AFME,Agence française pour la maîtrise de l'énergie
AFNOR,Association française de normalisation
AFNOR,Association française de normalisation - Groupe AFNOR
AFOCERT,Association Française des Organismes de CERTification des produits de construction
AFORMAC,Association Pour La Formation Dans Le Massif Central
AFORTS,Association Francaise des Organismes de Formation et de Recherche en Travail Social
AFP,Agence France-Presse
AFP,Aide Financière Personalisée (pour Les Bénéficiaires Du Rsa)
AFPA,Association nationale pour la formation professionnelle des adultes
AFPAP,Association Française de Protection et d’Assistance aux Personnes
AFPCN,Association française pour la prévention des catastrophes naturelles
AFPS,Association française du génie parasismique
AFPS,Attestation de formation aux premiers secours
AFPSSU,Association Française De Promotion De La Santé Scolaire Et Universitaire
AFR,Allocation formation reclassement
AFR,Association foncière de remembrement.
AFSEA,Association française pour la sauvegarde de l’enfance et de l’adolescence
AFSSA,Agence française de sécurité sanitaire des aliments
AFSSAPS,Agence française de sécurité sanitaire des produits de santé
AFSSE,Agence française de sécurité sanitaire environnementale
AFSSET,Agence française de sécurité sanitaire de l'environnement et du travail
AFT,Accueil Familial Thérapeutique (rattaché à la Pédo-psychiatrie)
AFT,Agence de la dette (Agence France Trésor)
AFU,Association foncière urbaine.
AFUTT,Association des utilisateurs des télécommunications
AG,Anesthésie Générale
AGA,Association de gestion agréée
AGA,Association de gestion agréée
AGA,Association de gestion agréée
AGA,Association de gestion agréée
AGBF,Aide à La Gestion Du Budget Familial
AGDREF,Application de Gestion des Dossiers des Ressortissants Étrangers en France
AGEAM,Association pour la gérance d'écoles d'apprentissage maritime
AGECIF,Association pour la gestion du congé individuel de formation
AGED,Allocation de Garde à Domicile
AGEFAL,Association de gestion du fonds des formations en alternance
AGEFIPH,Association de gestion du fonds pour l'insertion professionnelle des personnes handicapées
AGEFOS-PME,Association de gestion des fonds salarié des petites et moyennes entreprises
AGEPI,Aide à la garde d'enfants pour les parents isolés
AGFF,Association pour la gestion du fonds de financement AGIRC-ARRCO
AGGIR,(Grille) autonomie gérontologie groupe iso-ressources
AGIEM,Association Générale des Institutrices des Ecoles Maternelles
AGIRA,Association pour la gestion des informations relatives aux risques en assurance
AGIRC,Association générale des institutions de retraites des cadres
AGIRC,Association générale des institutions de retraites des cadres.
AGIV,Aspirants de Gendarmerie Issus du Volontariat
AGRASC,Agence de Gestion et de Recouvrement des Avoirs Saisis et Confisqués
AGREDE,Agriculture et épandage de déchets urbains et agro-industriels
AGRICA,Association de Gestion pour le compte des Institutions Complémentaires Agricoles
AGRIPPA,Application de Gestion du Répertoire Informatisé des Propriétaires et Possesseurs d'Armes
AGRR,Association Générale de Retraite par Répartition
AGS,Association pour la gestion du régime des garanties des créances des salariés
AGV,api.gouv.fr
AHAPS,Association Havraise Action Promotion Sociale
AI,Allocation d’insertion
AI,Association Intermédiaire
AI,Affaires Immobilières
AIC,Accélérateur d'Initiatives Citoyennes
AID,Agence internationale de développement
AIDAPHI,Association Interdépartementale Pour Le Développement Des Actions En Faveur Des Personnes Handicapées Et Inadaptées
AIE,Agence internationale de l'énergie.
AIEA,Agence internationale de l'énergie atomique
AIF,Aide Individuelle à La Formation
AIFE,Agence pour l'Informatique Financière de l'État
AII,Agence de l'innovation industrielle
AIJ,Accompagnement Intensif des Jeunes
AIL,Accord d’Initiative Locale
AIM,Association Internationale De La Mutualité
AIO,Accueil Information Orientation
AIS,Acte Infirmier de Soins
AIS,Adaptation et intégration scolaire
AITF,Association des Ingénieurs Territoriaux de France
AIVS,Agence immobilière à vocation sociale
AJ,Aide juridictionnelle
AL,Allocation de logement
ALAT,Commandement de l'aviation légère de l'armée de terre
ALD,Affection de longue durée
ALE,Accueil De Loisirs Extrascolaire
ALE,Agence locale de l'énergie.
ALE,Agence locale pour l’emploi
ALF,Allocation de logement familiale
ALI,Agent Local d’Insertion
ALI,Animateur local d’insertion
ALMA,Allo Maltraitance des Personnes Agées
ALME,Agence locale de la maîtrise de l'énergie.
ALS,Allocation d'enseignement et de recherche
ALS,Allocation de logement sociale
ALSH,accueil de loisirs sans hébergement (Nouvelle désignation du CLSH)
ALT,Aide au Logement Temporaire
AM,Assurance Maladie
AMAP,Association pour le maintien d'une agriculture paysanne
AMC,Assurance Maladie Complémentaire
AMCR,Accident Mortel de la Circulation Routière
AMD,Aide Médicale à Domicile
AME,Accords multilatéraux sur l'environnement.
AME,Aide médicale de l'État
AME,Aide médicale état
AME,Arrêté Ministériel d'Expulsion
AME,"Groupe de contrôle de l'armement, du maintien en condition opérationnelle et des exportations (AME)"
AMELI,Assurance Maladie en ligne
AMEXA,"Assurance maladie, invalidité et maternité des exploitants agricoles"
AMF,Accords multifibres
AMF,Association des maires de France
AMF,Assurance mutuelle des fonctionnaires
AMF,Autorité des marchés financiers
AMG,Assistance médicale gratuite
AMGVF,Association des Maires de grandes villes de France
AMI,Accord multilatéral sur l’investissement
AMI,Acte Médical Infirmier
AMI,Appel à manifestation d'intérêt
AMICAL,"Articulation, MIssion, Conduite À tenir, Liaisons"
AMIP,Aide Moniteur en Intervention Professionelle
AMM,Aéroport Montpellier Méditerranée
AMM,Autorisation de mise sur le marché
AMO,Actes pratiqués par l’orthophoniste
AMO,Assistance à Maîtrise d'Ouvrage
AMO,Assurance Maladie Obligatoire
AMOA,Assistance à la maîtrise d’ouvrage (cf. http://bit.ly/amoa1234)
AMOD,Arme Munition Optique Divers
AMP,Accord sur les Marchés Publics
AMP,Accord sur les marchés publics.
AMP,Aide Medico Psychologique
AMP,Aide médico psychologique
AMP,Assistance médicale à la procréation
AMR,Alliance maladies rares
AMRF,Association des maires ruraux.de France
AMU,Aide médicale d’urgence
AMVGF,Association des maires des grandes villes de France
ANABF,Association Nationale des Architecte des bâtiments de France
ANACT,Agence nationale pour l'amélioration des conditions de travail
ANAEM,Agence nationale d'accueil des étrangers et des migrations
ANAES,Agence nationale d'accréditation et d'évaluation en santé
ANAES,Association nationale d’accréditation des établissements de santé
ANAH,Agence nationale de l’habitat
ANAP,Agence Nationale D’appui à La Performance Des établissements De Santé Et Médico-sociaux
ANAS,Agence nationale des routes et aérodromes.
ANAS,Association nationale des assistants sociaux
ANC,Autorité des normes comptables
ANCCBAS,Association nationale des cadres des bureaux d’aide sociale
ANCE,Agence nationale pour la création d'entreprises
ANCE,Association Nationale des Communautés Educatives
ANCMRTM,Association nationale des communes pour la maîtrise des risques technologiques majeurs
ANCOLS,Agence nationale de contrôle du logement social
ANCSEC,Agence nationale pour la cohésion sociale et l'égalité des chances
ANCT,Agence nationale de la cohésion des territoires
ANCT,Agence nationale de la cohésion des territoires
ANCV,Association Nationale des Chèques Vacances
ANCV,Agence nationale pour les chèques-vacances
ANDA,Association nationale pour le développement agricole
ANDASS,Association nationale des directeurs des affaires sanitaires et sociales
ANDDOM,Association nationale pour le développement des départements d'outre-mer
ANDEM,Agence nationale pour le développement de l'évaluation médicale
ANDRA,Agence nationale pour la gestion des déchets radioactifs
ANDRED,Agence nationale pour la récupération et l'élimination des déchets.
ANEFE,Association nationale des écoles françaises de l'étranger
ANEJI,Association nationale des éducateurs de jeunes inadaptés
ANENA,Association nationale pour l'étude de la neige et des avalanches
ANESM,Agence Nationale de l’Évaluation Sociale et Médico-sociale
ANFH,Association Nationale pour la Formation permanente du personnel Hospitalier
ANFR,Agence nationale des fréquences
ANI,Accord national interprofessionnel
ANIFOM,Agence nationale pour l'indemnisation des Français d'outre-mer
ANIL,Association nationale d'information logement
ANIT,Agence nationale de l'information touristique
ANIVIT,Association Nationale interprofessionnelle des vins de table et des vins de pays
ANLCI,Agence nationale de lutte contre l'illettrisme
ANLEP,Association nationale des licenciés économique et des préretraités
ANMJPM,Association Nationale Des Mandataires Judiciaires à La Protection Des Majeurs (Nouveau nom de l’ANGT)
ANN,Agence Nationale du Numérique
ANPAA,Association Nationale De Prévention En Alcoologie Et Addictologie
ANPASE,Association nationale des personnels et acteurs de l’action sociale en faveur de la famille
ANPDE,Association Nationale des Puericultrices Diplomées d’État
ANPE,Agence nationale pour l'emploi
ANPEDA,Association nationale des parents d’enfants déficients auditifs
ANPEEC,Agence nationale pour l’information des locataires
ANPEEC,Agence nationale pour la part des employeurs à l’effort de construction
ANPER,Association Nationale pour la protection des Eaux et Rivières
ANPF,Association nationale des placements familiaux
ANPHA,Association nationale des personnes handicapées
ANR,Agence nationale de la recherche
ANRED,Agence nationale pour la récupération et l'élimination des déchets
ANRS,Agence Nationale de Recherches contre le Sida et les hépatites
ANRU,Agence nationale pour la rénovation urbaine
ANS,Agence du numérique en Santé
ANSA,Agence nouvelle des solidarités actives
ANSES,"Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail"
ANSM,Agence nationale de sécurité du médicament et des produits de santé
ANSP,Agence Nationale Des Services à La Personne
ANSP,Agence nationale de santé publique Santé Publique France
ANSSI,Agence Nationale de la Sécurité des Systèmes d'Information
ANT,Agence nationale pour l'insertion et la promotion des travailleurs d'outre-mer
ANTAI,Agence nationale de traitement automatisé des infractions
ANTS,Agence Nationale des Titres Sécurisés
ANVAR,Agence nationale de valorisation de la recherche
AO,Appel d'Offres
AOC,Appellation d'origine contrôlée
AOO,Appel d'Offres Ouvert
AOP,Appel d'Offres sur Performances
AOP,Appellation d'origine protégée.
AOR,Appel d'Offres Restreint
AOR,Assistance apportée au maître de l'ouvrage lors des opérations de réception
AP,Accueil Provisoire
AP,Assistance publique
AP,Auxiliaire de Puériculture
AP,Avant Projet
AP,Armurier Pyrotechnicien
AP-HM,Assistance publique - Hôpitaux de Marseille
AP-HP,Assistance publique - Hôpitaux de Paris
AP2E,Agir Pour Une Économie Équitable
APA,Activités physiques adaptées
APA,Allocation personnalisée d'autonomie
APA,Avant Projet Architectural
APAD,Association pour la promotion d'une Agriculture Durable
APAJH,Association pour adultes et jeunes handicapés
APASU,Attaché Principal d’Administration Scolaire et Universitaire
APB,Admission Post Bac
APB,Avant projet de budget.
APCA,Assemblée permanente des chambres d'agriculture.
APCE,Agence pour la création d'entreprise
APCG,Assemblée des présidents de Conseils Généraux.
APCM,Assemblée permanente des chambres de métiers
APCMA,Assemblée permanente des chambres de métiers et de l'artisanat
APD,Aide publique au développement
APD,Avant Projet Détaillé
APE,Action De Préparation à l’Emploi
APE,Agences Pôle Emploi
APE,Agir pour l'environnement
APE,Allocation parentale d'éducation
APE,Agence des participations de l'État
APEAS,Agence Provençale Pour Une Économie Alternative Et Solidaire
APEAS,Association de Parents d’Enfants Accidentés Par Strangulation
APEC,"Association pour l'emploi des cadres, ingénieurs et techniciens"
APEDYS,Association de Parents d’Enfants Dyslexiques
APEGH,"Agence de la procréation, de l'embryologie et de la génétique humaines"
APERAV,Association des Personnels du Rectorat de l’Académie de Versailles
APERE,Association pour la promotion des énergies renouvelables.
APERF,"Association Pour La Prévention, L’éducation, La Recherche Et La Formation En Rééducation Et Réadaptation"
APERI,Association d’Aide aux Personnes En voie de RéInsertion
APERS,Association De Prévention Et De Réinsertion Sociale (a Aix en Provence)
APF,Association des paralysés de France
APHM,Assistance Publique des Hôpitaux de Marseille
APHP,Assistance Publique Hôpitaux de Paris
API,Allocation de parent isolé
APICADEV,Association Picarde Des Aveugles Et Déficients Visuels
APIDPM,Autorités publiques indépendantes dotées de la personnalité morale
APIE,Agence du Patrimoine Immatériel de l’État
APIJ,Agence publique pour l'immobilier de la justice
APJ(A),Agent de Police Judiciaire (Adjoint)
APJE,Allocation Pour Jeune Enfant
APJM,accueil provisoire jeune majeur
APL,Aide personnalisée au logement
APP,Atelier pédagogique personnalisé
APPA,Association pour la prévention de la pollution atmosphérique
APPE,Association de protection et de prévention de l'environnement
APR,Agent polyvalent de restauration
APRE,Aide Personnalisée De Retour à L’emploi
APRF,Arrêté Préfectoral de Reconduite à la Frontière
APRI,Administration privée.
APRODI,Association pour la promotion et le développement industriel
APS,Avant Projet Sommaire
APS,Autorisation de Prise de Subsistance
APSA,Avant projet sommaire d'agglomération.
APSAD,Assemblée plénière des sociétés d'assurances-dommages
APTRP,Association professionnelle des transporteurs routiers de la région parisienne
APU,Administration publique
APUC,Administration publique centrale
APUL,Administration publique locale
APUR,Atelier parisien d'urbanisme
APVF,Association des petites villes de France
ARACT,Action Régionale Pour L’amélioration Des Conditions De Travail (membre du réseau de ANACT
ARADOPA,Association Régionale De L’aide à La Personne
ARAMIS,Association réseau des producteurs de données en santé publique
ARC,Assistant de recherche clinique
ARC,Attaché de recherche clinique
ARCAT,"Association de Recherche, de Communication et d’Action pour l’accés aux Traitements"
ARCEP,Autorité de régulation des communications électroniques et des postes
ARCS,L’association Rennaise Des Centres Sociaux
ARD,Agence régionale de développement.
ARDEQAF,Association Régionale Pour Le Développement Des Qualifications Et Des Actions De Formation
ARDES,Association Régionale Pour Le Développement De Économie Solidaire
ARDL,Association Pour Le Développement Local
ARDP,Autorité de régulation de la distribution de la presse
ARE,Anesthésiste Réanimateur
ARE,Allocation d'Aide au Retour à l'Emploi
AREF,Allocation d'Aide au Retour à l'Emploi Formation
ARENE,Agence Régionale de l'Environnement et des nouvelles énergies
AREPS,Association de recherche et d’étude des politiques sociales
ARERAM,Association pour la Rééducation des Enfants et la Réadaptation des adultes en difficulté Médico-sociale
ARF,Association des régions de France
ARH,Agence régionale d'hospitalisation
ARH,Agence régionale de l’hospitalisation
ARHIF,Agence Régionale d’Hospitalisation d’Ile-de-France
ARIAD,Association pour la recherche et l'information sur l'aide au développement
ARIC,Association Régionale d'information des Collectivités territoriales
ARIM,Association de restauration immobilière
ARIME,Association pour la Recherche et l’Intervention Médico-Educative
ARIST,Agence régionale d'information scientifique et technique
ARMPA,Association des réseaux de mesure de la pollution de l'air.
ARN,Acide RiboNucléique
ARP,Agence Régionale du Patrimoine
ARPE,Agence régionale pour l'environnement.
ARPE,Allocation de Remplacement Pour l’Emploi
ARPEJ,Association pour la Réadaptation et la Promotion des Enfants et des Jeunes
ARPPE,Agence Régionale pour la Protection du patrimoine et de l'environnement
ARPROVA,Association régionale de promotion de la vie associative
ARRCO,Association des régimes de retraite complémentaire
ARRIAE,Association Régionale des Réseaux de l’Insertion par l’Activité Economique
ARS,Agence régionale de santé
ARS,Allocation de rentrée scolaire
ARSE,Assignation à résidence avec surveillance électronique
ARSE,Assignation à résidence sous surveillance électronique.
ARSEAA,Association régionale de sauvegarde de l’enfant de l’adolescent et de l’adulte
ART,Autorité de régulation des télécommunications
ARTT,Aménagement et réduction du temps de travail
ARV,AntiRétroViraux
ARVEJ,Aménagement du rythme de vie de l'enfant et du jeune
AS,Aide soignant
AS,Assistante sociale
ASA,Aide supplémentaire d'attente
ASA,Association syndicale autorisée
ASAP,Accompagnement Social Et D’aide à La Parentalité
ASD,Aide Soignant·e Diplômé·e
ASE,Agence spatiale européenne
ASE,Aide sociale à l'enfance
ASE,Assistant socio-éducatif
ASEAN,Association of the South-East Asian Nations (Association des nations de l'Asie du Sud-Est)
ASEH,Accueil et Scolarisation des Enfants Handicapés
ASEL,Action socio-éducative liée au logement
ASF,Allocation de soutien familial
ASF,Autoroutes du sud de la France.
ASFA,Association des sociétés Françaises d’autoroutes
ASFAM,Assistante Familiale
ASFO,Association de formation
ASGF,Association syndicale de gestion forestière
ASGUAL,Association Guyane Alzheimer
ASH,Actualités sociales hebdomadaires (revue)
ASH,Agents des Services Hospitaliers
ASH,Aide Sociale A L’hébergement
ASHQ,Agent de service hospitalier qualifié
ASI,Appui Social Individualisé
ASI,Attaché de Sécurité Intérieure
ASL,Arrivée Sur les Lieux
ASLL,Allocation Sociale Liée Au Logement
ASMR,Amélioration du service médical rendu
ASN,Autorité de sûreté nucléaire.
ASP,Agence de services et de paiement ( anciennement CNASEA)
ASP,Agence de services et de paiement
ASPA,Allocation de solidarité aux personnes âgées
ASPC,Application de Stockage des Procédures Clotûrées
ASR,Attestation de sécurité routière.
ASS,Action Sanitaire et Sociale
ASS,Allocation de solidarité spécifique
ASS,Assistant de Service Social
ASSA,Antenne Spéciale de la Sécurité des Armes
ASSAD,Association De Soin Et De Services A Domicile
ASSAPS,Agence française de sécurité sanitaire des produits de santé.
ASSEDIC,Association pour l'emploi dans l'industrie et le commerce
ASSO,Administration de sécurité sociale
ASSTS,Antenne Spéciale de la Sécurité des Transports Sensibles
ASSU,Ambulance de Secours et de Soins d’Urgences
ASTE,Association pour le développement des sciences et techniques de l'environnement
ASTEE,Association scientifique et technique pour l'eau et l'environnement
ASTRID,Agence de soutien des technologies de la recherche industrielle et du développement
ASV,Ateliers Santé Ville
ASVP,Agent de Surveillance de la Voie Publique
AT,Accident du Travail
AT,Appartement Thérapeutique
AT,Autorité de Tarification
AT,Acquisition de Terrain
ATA,Agent technique d’alimentation
ATA,L’allocation temporaire d’attente
ATAC,Association technique pour l'action culturelle
ATB,Accidents Tués Bléssés
ATC,Assistants techniques au commerce
ATD,Aide à toute détresse
ATER,Attaché temporaire d’enseignement et de recherche
ATESAT,Assistance technique fournie par l'État pour des motifs de solidarité et d'aménagement du territoire.
ATF,Association des Tunisiens de France
ATGC,Aide technique à la gestion communale.
ATI,Allocation temporaire d’invalidité
ATIC,Association technique de l'importation charbonnière
ATIH,Agence Technique d’Information sur l’Hospitalisation
ATIH,Agence technique de l'information sur l'hospitalisation
ATMFC,Assistant Technique En Milieu Familial Et Collectif
ATO,Atelier Thérapeutique Occupationnel
ATOS,"Personnel administratif, technicien, ouvrier et de service"
ATR,Agence territoriale routière.
ATRT,Application de Traitement des Relations Transactionnelles
ATSEM,Agent Territorial Spécialisé des Ecoles Maternelles
ATTRI1,Acte d'engagement - Formulaire pour répondre aux marchés publics (ex formulaire DC3)
ATTRI2,Signature de l’acte spécial présenté au stade du dépôt de l’offre
ATU,Autorisation temporaire d’utilisation
AU,Activité Unité
AUD,Allocation Unique Dégressive
AUDIST,Agence universitaire de documentation et d'information scientifique et technique
AUR,Attitude Universelle de Riposte
AUT,Autorisation d'usage à des fins thérapeutiques
AVC,Accident Vasculaire Cérébral
AVDL,Accompagnement Vers Et Dans Le Logement
AVIP,Atteinte Volontaire à l'Intégrité Physique
AVP,Activité En Vie Pratique
AVP,Etudes d'avant-projet
AVP,Avancement par Voie Professionnelle
AVS,Auxiliaires de vie scolaire
AVTS,Allocation aux vieux travailleurs salariés
AZI,Atlas des zones inondables (prévention du risque inondation).
Afev,Association de la Fondation Etudiante pour la Ville
Agro Paris Tech,Institut des sciences et industries du vivant et de l'environnement
Agro Paris Tech - ENGREF,"École nationale du génie rural, des eaux et des forêts"
Agro-Sup Dijon,"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement"
Agrocampus Ouest,"Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage"
Anses,"Agence nationale de sécurité sanitaire, de l’alimentation, de l’environnement, et du travail"
Arafer,Direction du transport routier de voyageurs et des autoroutes
BA,Béton armé.
BA,Bouchon Allumeur
BAAC,Bulletin Analyse Accident Corporel
BAB,Bouchons Anti-Bruit
BAC,Brigade Anti-Criminalité
BAC,Bureau Anti-Criminalité ou Brigade Anti-Criminalité
BAFA,Brevet d’Aptitude aux Fonctions d’Animateur
BAFD,Brevet d’aptitude aux fonctions de directeur
BAIP,Bureau d'Aide à l'Insertion Professionnelle
BAL,Base Adresse Locale
BALO,Bulletin des annonces légales obligatoires
BAM,Brevet d'Alpinisme Militaire
BANA,Budget annexe de la navigation aérienne
BAP,Bureau d'Accompagnement des Personnels
